taxon,country
hCoV-19/Jingzhou/HBCDC-HB-01/2020|EPI ISL 412459|Asia|China|2020-01-08,China
hCoV-19/Wuhan/WIV07/2019|EPI ISL 402130|Asia|China|2019-12-30,China
hCoV-19/Shanghai/SH0098/2020|EPI ISL 416391|Asia|China|2020-02-02,China
hCoV-19/Shanghai/SH0012/2020|EPI ISL 416325|Asia|China|2020-02-02,China
hCoV-19/Singapore/7/2020|EPI ISL 410713|Asia|Singapore|2020-01-27,Singapore
hCoV-19/Sweden/01/2020|EPI ISL 411951|Europe|Sweden|2020-02-07,Sweden
hCoV-19/Australia/VIC02/2020|EPI ISL 416410|Oceania|Australia|2020-01-24,Australia
hCoV-19/SouthKorea/KUMC02/2020|EPI ISL 413018|Asia|SouthKorea|2020-02-06,South Korea
hCoV-19/SouthKorea/KUMC01/2020|EPI ISL 413017|Asia|SouthKorea|2020-02-06,South Korea
hCoV-19/USA/CA2/2020|EPI ISL 406036|NorthAmerica|USA|2020-01-22,United States of America
hCoV-19/Australia/VIC01/2020|EPI ISL 406844|Oceania|Australia|2020-01-25,Australia
hCoV-19/HongKong/Case17 22012020/2020|EPI ISL 417180|Asia|HongKong|2020-02-03,Hong Kong
hCoV-19/HongKong/Case20 30012020/2020|EPI ISL 417182|Asia|HongKong|2020-02-05,Hong Kong
hCoV-19/Wuhan/WH05/2020|EPI ISL 408978|Asia|China|2020-02-07,China
hCoV-19/HongKong/VB20024950/2020|EPI ISL 412029|Asia|HongKong|2020-01-30,Hong Kong
hCoV-19/HongKong/case52 VM20002582/2020|EPI ISL 414569|Asia|HongKong|2020-02-12,Hong Kong
hCoV-19/HongKong/CUHK1/2020|EPI ISL 416314|Asia|HongKong|2020-02-07,Hong Kong
hCoV-19/HongKong/case42 VM20002493/2020|EPI ISL 414527|Asia|HongKong|2020-02-09,Hong Kong
hCoV-19/Canada/BC 35720/2020|EPI ISL 415582|NorthAmerica|Canada|2020-03-04,Canada
hCoV-19/HongKong/case85 VM20002868/2020|EPI ISL 414519|Asia|HongKong|2020-02-24,Hong Kong
hCoV-19/canine/HongKong/20-02756/2020|EPI ISL 414518|Asia|HongKong|2020-02-26,Hong Kong
hCoV-19/HongKong/Case23 26012020/2020|EPI ISL 417183|Asia|HongKong|2020-01-30,Hong Kong
