taxa	location
Australia/NSW01/2020|EPI_ISL_407893|Australia|New_South_Wales|Sydney|2020-01-24	Export
Australia/QLD02/2020|EPI_ISL_407896|Australia|Queensland|Gold_Coast|2020-01-30	Export
Australia/VIC01/2020|EPI_ISL_406844|Australia|Victoria|Clayton|2020-01-25	Export
Belgium/GHB-03021/2020|EPI_ISL_407976|Belgium|Leuven||2020-02-03	Export
Cambodia/0012/2020|EPI_ISL_411902|Cambodia|Sihanoukville||2020-01-27	Export
China/IQTC01/2020|EPI_ISL_412966|China|Guangdong|Guangzhou|2020-02-05	Guangdong
China/IQTC02/2020|EPI_ISL_412967|China|Guangzhou||2020-01-29	Guangzhou
China/WHU01/2020|EPI_ISL_406716|China|Hubei|Wuhan|2020-01-02	Hubei
China/WHU02/2020|EPI_ISL_406717|China|Hubei|Wuhan|2020-01-02	Hubei
Chongqing/IVDC-CQ-001/2020|EPI_ISL_408481|China|Chongqing||2020-01-18	Chongqing
England/01/2020|EPI_ISL_407071|UK|England||2020-01-29	Export
England/03/2020|EPI_ISL_412116|UK|England||2020-02-09	Export
Finland/1/2020|EPI_ISL_407079|Finland|Lapland||2020-01-29	Export
Foshan/20SF207/2020|EPI_ISL_406534|China|Guangdong|Foshan|2020-01-22	Guangdong
Foshan/20SF210/2020|EPI_ISL_406535|China|Guangdong|Foshan|2020-01-22	Guangdong
France/IDF0373/2020|EPI_ISL_406597|France|Ile-de-France|Paris|2020-01-23	Export
France/IDF0515/2020|EPI_ISL_408430|France|Ile-de-France|Paris|2020-01-29	Export
France/IDF0626/2020|EPI_ISL_408431|France|Ile-de-France|Paris|2020-01-29	Export
Fujian/8/2020|EPI_ISL_411060|China|Fujian||2020-01-21	Fujian
Fujian/13/2020|EPI_ISL_411066|China|Fujian||2020-01-22	Fujian
Germany/BavPat1/2020|EPI_ISL_406862|Germany|Bavaria|Munich|2020-01-28	Export
Guangdong/20SF012/2020|EPI_ISL_403932|China|Guangdong|Shenzhen|2020-01-14	Guangdong
Guangdong/20SF014/2020|EPI_ISL_403934|China|Guangdong|Shenzhen|2020-01-15	Guangdong
Guangdong/20SF028/2020|EPI_ISL_403936|China|Guangdong|Zhuhai|2020-01-17	Guangdong
Guangdong/20SF201/2020|EPI_ISL_406538|China|Guangdong||2020-01-23	Guangdong
Guangzhou/20SF206/2020|EPI_ISL_406533|China|Guangdong|Guangzhou|2020-01-22	Guangdong
