fasta_header                                                                              ,Virus name                                   ,Location                                             ,Collection date,Originating lab                                                                                                                                                                                                                 ,Submitting lab                                                                                                                                                                                                                                              ,Authors
hCoV-19/USA/WA-S90/2020|EPI_ISL_417143|NorthAmerica|USA|2020-02-29                        ,hCoV-19/USA/WA-S90/2020                      ,NorthAmerica/USA/Washington/UmatillaCounty           ,2020-02-29     ,Washington State Department of Health                                                                                                                                                                                           ,Seattle Flu Study                                                                                                                                                                                                                                           ,Chu etl al
hCoV-19/USA/WA-S94/2020|EPI_ISL_417147|NorthAmerica|USA|2020-02-28                        ,hCoV-19/USA/WA-S94/2020                      ,NorthAmerica/USA/Washington/SnohomishCounty          ,2020-02-28     ,Washington State Department of Health                                                                                                                                                                                           ,Seattle Flu Study                                                                                                                                                                                                                                           ,Chu etl al
hCoV-19/USA/WI1/2020|EPI_ISL_408670|NorthAmerica|USA|2020-01-31                           ,hCoV-19/USA/WI1/2020                         ,NorthAmerica/USA/Wisconsin                           ,2020-01-31     ,Wisconsin Department of Health Services                                                                                                                                                                                         ,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"                                                                                                                                    ,"Jing Zhang, Anna Uehara, Krista Queen, Yan Li, Ying Tao, Clinton R. Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
hCoV-19/USA/WA-S77/2020|EPI_ISL_417130|NorthAmerica|USA|2020-03-05                        ,hCoV-19/USA/WA-S77/2020                      ,NorthAmerica/USA/Washington/KingCounty               ,2020-03-05     ,Washington State Department of Health                                                                                                                                                                                           ,Seattle Flu Study                                                                                                                                                                                                                                           ,Chu etl al
hCoV-19/USA/WA-S78/2020|EPI_ISL_417131|NorthAmerica|USA|2020-03-05                        ,hCoV-19/USA/WA-S78/2020                      ,NorthAmerica/USA/Washington/KingCounty               ,2020-03-05     ,Washington State Department of Health                                                                                                                                                                                           ,Seattle Flu Study                                                                                                                                                                                                                                           ,Chu etl al
hCoV-19/USA/WA-S83/2020|EPI_ISL_417136|NorthAmerica|USA|2020-03-05                        ,hCoV-19/USA/WA-S83/2020                      ,NorthAmerica/USA/Washington/KingCounty               ,2020-03-05     ,Washington State Department of Health                                                                                                                                                                                           ,Seattle Flu Study                                                                                                                                                                                                                                           ,Chu etl al
hCoV-19/Japan/TY-WK-012/2020|EPI_ISL_408665|Asia|Japan|2020-01-29                         ,hCoV-19/Japan/TY-WK-012/2020                 ,Asia/Japan/Tokyo                                     ,2020-01-29     ,"Dept. of Virology III, National Institute of Infectious Diseases"                                                                                                                                                              ,"Pathogen Genomics Center, National Institute of Infectious Diseases"                                                                                                                                                                                       ,"Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Makoto Takeda, Makoto Kuroda"
hCoV-19/Japan/TY-WK-521/2020|EPI_ISL_408667|Asia|Japan|2020-01-31                         ,hCoV-19/Japan/TY-WK-521/2020                 ,Asia/Japan/Tokyo                                     ,2020-01-31     ,"Dept. of Virology III, National Institute of Infectious Diseases"                                                                                                                                                              ,"Pathogen Genomics Center, National Institute of Infectious Diseases"                                                                                                                                                                                       ,"Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Makoto Takeda, Makoto Kuroda"
hCoV-19/Japan/KY-V-029/2020|EPI_ISL_408669|Asia|Japan|2020-01-29                          ,hCoV-19/Japan/KY-V-029/2020                  ,Asia/Japan/Kyoto                                     ,2020-01-29     ,"Dept. of Virology III, National Institute of Infectious Diseases"                                                                                                                                                              ,"Pathogen Genomics Center, National Institute of Infectious Diseases"                                                                                                                                                                                       ,"Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Makoto Takeda, Makoto Kuroda"
hCoV-19/USA/WA-S110/2020|EPI_ISL_417163|NorthAmerica|USA|2020-03-05                       ,hCoV-19/USA/WA-S110/2020                     ,NorthAmerica/USA/Washington/KingCounty               ,2020-03-05     ,Seattle Flu Study                                                                                                                                                                                                               ,Seattle Flu Study                                                                                                                                                                                                                                           ,Chu etl al
